username,most_active_day,most_active_hour,freq_of_most_hashtag,location,verified,followers_count,friends_count,favourites_count,statuses_count,month_created,year_created,is_buzzer
Hayik02,7,7,31,0,0,125,388,445,25859,3,2015,1
hen_p_astoro,4,16,36,1,0,515,282,324,48418,11,2010,1
HendarwatiH,7,14,4,1,0,1011,91,96895,43576,9,2018,1
hendra_kaf,4,15,9,1,0,2385,2520,34,16548,1,2010,1
hendra235,6,3,12,1,0,309,94,6636,68522,8,2010,1
Hendra27122013,5,14,11,1,0,468,330,59302,13259,3,2017,1
henikusman,7,10,10,1,0,1030,492,57388,10556,1,2011,1
heniunique,3,0,6,1,0,7260,3987,78311,38299,1,2013,1
henryku77,5,15,8,1,0,506,480,9072,8163,3,2018,1
herifals89,3,11,30,0,0,7,37,677,6939,10,2016,1
HeriSus78081249,5,7,216,1,0,154,473,393,910,10,2017,1
hernandcool,7,13,33,0,0,718,1674,1343,667,5,2009,1
HersantoEko,3,2,17,1,0,229,796,1750,2820,10,2017,1
Herusundoro,3,8,18,1,0,438,436,12798,19886,7,2010,1
Herygobang,3,13,6,1,0,83,223,4179,3517,2,2019,1
Hfifah122,6,3,181,0,0,88,4,1589,1318,3,2019,1
HidiawatiDefa,6,14,322,0,0,120,5,1841,20210,8,2018,1
HoetTkr,6,10,31,1,0,3961,3565,29114,58776,1,2012,1
hongkiy1,2,13,6,0,0,4236,1626,40490,57805,3,2016,1
humarihidayat,7,22,6,1,0,530,953,12633,26730,6,2011,1
IalSarmadani,6,0,23,0,0,259,301,632,2571,11,2014,1
Iank_ZQ,4,17,119,1,0,95,133,2741,3135,8,2013,1
ibachker,4,21,8,0,0,238,400,3715,10884,1,2013,1
IbnuErwan,7,2,48,0,0,80,449,1115,5390,3,2015,1
ibnul_munir,5,7,31,0,0,79,332,1474,1930,9,2016,1
ichigotalks,6,1,2,1,0,8334,8931,33639,9748,5,2010,1
ICHSANI85,4,15,56,1,0,88,1054,13166,13829,12,2014,1
IdaNursadiah1,4,4,33,1,0,50,120,2637,2992,12,2017,1
IdrisVandi,6,17,6,1,0,58,225,2128,1483,3,2016,1
ifanaz6,4,9,12,1,0,85,265,1998,1178,12,2011,1
ifoer78,1,23,12,1,0,275,2073,1378,1980,12,2010,1
IHakim007,5,23,5,1,0,3527,3851,1247,2277,9,2018,1
iif888,6,10,17,1,0,188,368,1150,2368,3,2012,1
IkePurwono,6,13,15,0,0,726,393,11825,16339,4,2014,1
ikutjokowimaruf,6,15,126,0,0,8,4,1,9582,10,2018,1
ikwanashari,3,17,11,1,0,7649,109,581,2619,12,2017,1
imbangimedia,6,21,27,1,0,3810,782,139703,220501,5,2012,1
Imron22Ahmad,1,15,10,0,0,17,72,2781,1949,6,2015,1
indisastrautama,4,5,23,0,0,149,229,8647,7067,10,2018,1
Indramajid8,6,13,14,1,0,2210,1626,108023,99068,12,2017,1
iqbal_jambi_,1,1,17,0,0,245,461,6909,9448,3,2012,1
iqiroy,5,23,73,1,0,53848,28649,544,35542,12,2013,1
irairwi,4,23,20,0,0,59,91,95,1208,9,2011,1
irawanjayakarta,5,16,41,1,0,860,1760,25384,24905,8,2009,1
Irmapadang1,5,4,34,0,0,23,146,156,881,5,2012,1
Irv4nory,7,11,26,0,0,88,578,7497,1550,11,2017,1
irvanasir,3,1,12,1,0,14,132,166,169,9,2011,1
irwan_cib,7,6,13,1,0,428,618,20871,22754,5,2010,1
Ismadani7,6,16,363,0,0,9,70,1782,122,8,2018,1
IsmaWat79495337,6,4,489,0,0,2,32,19,73,3,2019,1
ivankastara,7,15,8,1,0,83,119,1413,2303,3,2009,1
Iwan_Kapuk,7,16,16,0,0,2102,2257,40568,34027,5,2013,1
iwanwir,3,16,56,0,0,233,9,30,9247,5,2014,1
jabar27,1,13,42,1,0,342,421,60,5023,10,2009,1
jackymanise,7,0,15,0,0,2009,2437,62777,58326,1,2011,1
jaenudinngaci20,5,12,497,0,0,2,4,18,9,3,2019,1
JAKDIVE,5,14,15,1,0,13,51,3,1989,11,2010,1
jampangtripoli,1,23,14,0,0,72,132,9616,8681,11,2013,1
jantosn,4,4,25,1,0,84,229,11748,11265,4,2010,1
Jaya_Ind,7,16,19,1,0,545,1122,43342,36508,2,2012,1
jempolpedes,1,11,32,1,0,162,240,217,827,3,2019,1
JhonHtjl,4,8,17,1,0,4010,3918,52234,28668,7,2017,1
JienSatria,3,7,7,0,0,254,855,7893,8739,5,2018,1
JikoKaicili,5,6,15,0,0,834,4978,6227,6833,12,2018,1
johanissuhaili,2,6,8,0,0,890,2246,6927,32950,1,2012,1
JohanWoda,5,9,19,1,0,317,558,51458,35007,6,2018,1
John11353891,6,15,24,1,0,116,339,14642,7741,5,2018,1
Johnleg67383563,6,23,9,0,0,166,561,27084,9736,7,2017,1
Johnywick20,6,10,14,0,0,544,562,1964,18675,1,2019,1
jokoselong,7,15,34,1,0,1831,169,3738,168941,6,2014,1
Jokowi1xLagi,7,15,47,1,0,1485,66,5985,111120,7,2009,1
jono527,3,1,7,1,0,72,84,4681,868,10,2017,1
joyanle1,7,11,15,1,0,497,595,3131,10146,3,2012,1
jubelekete,5,13,33,1,0,2098,1838,15513,71764,10,2009,1
Juslanho,5,3,25,1,0,29,71,5169,1299,7,2013,1
justanam,6,1,28,1,0,27,43,567,590,12,2009,1
jvdas_iskariot,7,0,9,1,0,24078,2499,2956,131001,6,2012,1
kadiyono,7,11,7,1,0,1576,4993,63428,39391,10,2009,1
kakakirham,1,12,14,1,0,183,385,7158,1562,8,2010,1
KampretPemburu,5,0,17,1,0,97,436,2724,3531,8,2018,1
kamubeauty,6,0,6,1,0,1218,125,280,7857,7,2012,1
KandarSKD,5,21,22,0,0,443,457,17987,23075,5,2017,1
kangdeedee,2,14,3,1,0,360,391,66,6197,12,2009,1
katon_kara,6,18,134,0,0,4,3,1,12218,8,2018,1
KCDj_785,7,10,7,1,0,123,515,7135,2883,7,2012,1
kellyrudi,5,15,11,0,0,1040,1113,541,44949,9,2015,1
KemasAndresMesi,4,14,14,1,0,150,277,16801,641,8,2018,1
Kencanacyber,7,22,19,1,0,763,871,41920,21838,8,2018,1
kessi_hermana,6,2,9,1,0,859,734,7625,24591,2,2012,1
keypoyakeypoya,4,11,22,1,0,342,431,1302,1024,10,2013,1
khoiri_redho,3,17,466,0,0,4,71,0,49,12,2017,1
KickyRnr,5,11,27,1,0,76,24,3347,4267,8,2017,1
kondangtitis,1,21,11,0,0,545,246,7705,15133,8,2011,1
Konde_001,3,13,9,1,0,327,303,83,17438,7,2015,1
kopral_jon00,5,14,14,1,0,808,807,14850,62321,8,2014,1
krisnaplano,4,21,30,1,0,63,213,6107,8184,7,2013,1
Kurniaw6Herlina,5,16,30,1,0,542,92,17135,75351,6,2016,1
kurniawan1911,5,13,7,1,0,1996,915,148,2374,10,2008,1
KusnandarNand,1,23,371,1,0,164,339,9,136,12,2018,1
KusniaNina,2,3,15,0,0,108,214,3485,465,5,2015,1
LaingenLisa,3,14,31,1,0,699,763,44170,67175,10,2013,1
laksmurni,6,2,16,0,0,2445,1729,24921,23555,8,2018,1
lanunatuna,3,14,10,0,0,2910,2919,97031,92430,5,2014,1
LArp02,6,8,37,1,0,1027,1391,64105,57686,1,2018,1
LC01L,4,18,288,1,0,104,85,4236,9542,5,2012,1
ldfatho,7,1,41,1,0,2238,2199,26439,30215,6,2018,1
limyarto,1,1,23,1,0,2943,924,306,16727,10,2012,1
LineSpas,1,11,5,0,0,46,23,2859,5876,6,2018,1
lnfoKerjaNyata,3,13,26,1,0,879,1463,79,927,1,2013,1
lockenloll,4,16,14,1,0,178,261,352,8717,1,2017,1
luaneyap31,2,6,14,0,0,148,229,2963,2966,1,2014,1
lulumureta,2,1,6,1,0,52,33,9735,124,5,2014,1
Lutino34131379,7,15,12,1,0,834,1643,10850,3188,6,2018,1
m_32_87,4,14,10,1,0,1263,2406,27971,35190,2,2012,1
m_ibnu72,1,23,10,0,0,718,2178,1498,1878,10,2013,1
M212Rahmat,7,13,44,1,0,1432,452,45433,37900,12,2018,1
mabsus_af,4,22,10,1,0,475,164,63,303,7,2016,1
machfud20084527,6,13,16,0,0,140,83,9497,2648,4,2016,1
MadameLou2,3,8,8,0,0,86,989,7762,3476,12,2015,1
madang_kemulan,5,15,11,1,0,357,1950,1159,23729,9,2009,1
ManFabio1,4,12,7,0,0,145,1208,12551,8037,6,2017,1
mang_rifai,1,21,4,1,0,40,122,3286,959,10,2018,1
ManofBravo,5,3,24,1,0,198,64,1058,6339,1,2016,1
Mansabar1,1,4,20,0,0,5,87,78,486,3,2019,1
mansuruddin4,7,0,42,1,0,89,193,151,2215,6,2015,1
MardutPM,5,5,4,1,0,847,3588,3697,6748,2,2017,1
MArifSuparman1,3,10,14,0,0,941,1817,1131,2670,11,2016,1
MarjokoTri,6,23,45,1,0,65,172,213,337,12,2014,1
marjoso71,2,3,6,1,0,465,1463,2541,21123,4,2012,1
maruswijaya,6,12,107,0,0,39,164,1338,6128,3,2018,1
mas_f4d,4,15,11,0,0,792,673,99,41610,9,2011,1
MasNdiens,1,15,8,1,0,271,577,29963,33838,1,2015,1
MasTBP_,5,4,21,1,0,38567,5234,10192,288727,8,2009,1
MasYan19787125,4,15,21,1,0,221,421,12181,14455,12,2018,1
masyoko,1,15,35,0,0,70,188,2649,900,7,2009,1
Maul4na_JM01,6,14,17,1,0,4115,1337,52567,57769,12,2010,1
Maya_Bifi,3,11,4,0,0,621,860,7796,22925,11,2011,1
mayak1990,6,13,19,0,0,616,666,3515,13042,3,2011,1
mayiloveu2,6,17,24,0,0,152,216,19239,11421,8,2018,1
MB173212025,3,3,16,0,0,262,156,4769,10936,1,2017,1
MbahSyong,4,17,57,1,0,949,124,52426,54353,1,2018,1
MedanTownChinas,7,10,21,1,0,1304,1313,88,99402,9,2012,1
MediaRakyat_,6,16,27,1,0,2381,1948,6733,3599,7,2015,1
meitamorfosa,4,22,9,0,0,111,262,11162,16104,10,2014,1
Membangkang1,4,16,8,1,0,364,997,1401,736,10,2018,1
Memosastra4,1,13,4,0,0,79,688,4076,2372,5,2018,1
merahputih_id_,4,17,360,1,0,74,11,24,11013,2,2014,1
mi_00000018,1,7,13,1,0,382,1196,33,3294,8,2012,1
mileakamucantik,1,11,25,0,0,10,28,7,705,3,2019,1
minnursandi,1,14,12,0,0,52,146,1580,1462,11,2013,1
Misbakh70000161,7,16,10,0,0,160,150,727,4421,1,2019,1
MisRitaKalang,7,12,13,1,0,771,1320,30791,28578,12,2009,1
Mmorangkir,5,17,5,1,0,847,1307,8611,18037,11,2010,1
Moezamil1,2,23,10,1,0,184,242,1027,5168,11,2017,1
moh_antariksa,5,23,29,0,0,51,154,2412,855,7,2013,1
mohidrisabiputr,7,11,13,1,0,157,185,1260,342,4,2018,1
momilthecat27,7,15,18,1,0,758,1371,8368,16656,1,2011,1
MonRandi36,2,2,6,1,0,286,144,6,7989,12,2009,1
dikapradik,3,5,92,1,0,61,189,138,623,1,2013,1
Kristof83100077,7,12,7,0,0,127,284,953,1005,3,2019,1
temancelebes,1,1,79,1,0,139,1351,90,1356,2,2018,1
b_chokie,5,3,62,1,0,16,52,2775,1669,9,2018,1
AdrianSanjaya16,3,3,273,0,0,22,156,57,255,11,2018,1
jongkynaa,4,6,4,1,0,7,129,0,33,1,2019,1
JoeKido14,7,8,439,0,0,1,101,2,63,1,2019,1
Viraprtw20,4,10,228,0,0,43,291,308,272,2,2018,1
IpinkPing,2,13,18,0,0,17,172,22,76,3,2019,1
TanteSekar,6,8,61,1,0,26,52,1698,2740,2,2019,1
prasetyawae1,3,2,7,0,0,102,214,13097,10388,4,2019,1
jalukman1010,7,8,302,0,0,38,160,193,199,9,2018,1
mamanisa123,6,8,448,1,0,16,69,3,53,1,2019,1
CA91786,3,12,9,1,0,666,457,14150,21024,8,2018,1
ummychasan,7,12,10,0,0,1374,1093,36052,59096,6,2014,1
RinaDwi2121,5,2,178,1,0,17,48,16,1036,2,2018,1
peridotit22,5,3,464,0,0,31,218,2,37,2,2019,1
JemmySeptianus,3,4,9,0,0,7,46,328,1618,10,2014,1
MRamadanie,3,17,266,1,0,0,19,3,234,2,2019,1
andri_aditiya21,4,9,21,0,0,3,31,67,159,8,2018,1
tsaniann,1,14,7,1,0,301,851,35926,22161,6,2015,1
ZahrilD,3,7,279,1,0,22,27,50,363,11,2018,1
ahmadaryadi499,4,11,42,0,0,20,251,318,353,2,2018,1
Ferry13602224,3,22,6,1,0,263,199,33327,22728,8,2018,1
AsepW83497854,3,13,81,0,0,169,100,353,15953,4,2018,1
alfath0504,2,1,5,1,0,1116,698,565,2958,8,2012,1
sinemapagi1,3,13,80,1,0,45,201,222,1562,7,2017,1
Maanibike,7,13,6,0,0,109,83,9691,1464,9,2017,1
dnsyjsmn1,4,2,62,1,0,2,39,16,127,4,2019,1
DinaRah01430811,1,15,466,0,0,19,94,4,35,12,2018,1
TanteMiska,3,0,15,1,0,79,57,2152,4189,2,2019,1
Adi7114,7,13,31,0,0,149,115,6699,15822,8,2018,1
RexyChristian1,1,0,10,0,0,1192,873,14221,50915,9,2016,1
jibotu,7,14,42,1,0,495,492,4554,14067,8,2011,1
