username,most_active_day,most_active_hour,freq_of_most_hashtag,location,verified,followers_count,friends_count,favourites_count,statuses_count,month_created,year_created,is_buzzer
cumarachel,3,6,35,1,0,61896,552,150,21521,5,2012,0
CumiCue,7,11,15,1,0,3447,1592,38519,68567,1,2013,0
DaayaaD,4,7,7,1,0,932,986,454,31291,3,2013,0
dani_pangabean,4,10,5,1,0,1868,3620,36341,26927,8,2015,0
danicikz,6,23,12,1,0,532,735,10179,7630,4,2012,0
danrem,3,4,5,1,0,31382,650,526,98810,4,2009,0
dari_azura,7,9,6,1,0,1015,457,17738,7685,4,2018,0
darma_sitepu,7,12,8,1,0,69,103,201,6637,10,2011,0
DastrianaYuani1,2,7,10,0,0,213,586,29609,25363,5,2013,0
DDRezhaa,7,12,28,1,0,26122,807,290,44146,7,2012,0
deAr_idir,7,22,4,1,0,337,646,10390,5442,3,2010,0
deasarahamira,5,14,8,1,0,139,64,449,650,4,2013,0
dedisagala24,6,14,7,1,0,1328,288,167677,159164,5,2016,0
deedewilestari1,4,11,23,1,0,257,381,89,792,4,2010,0
DepokXerof,2,16,4,1,0,347,700,8485,6808,8,2013,0
Derrywahyudi,3,23,5,1,0,243,521,16995,3974,5,2011,0
devolta18,5,15,31,1,0,2823,4158,56036,18007,6,2012,0
dewagedepermana,4,16,86,1,0,499,1302,18258,24894,5,2009,0
DIAN_ALMAHRI_87,6,13,6,1,0,310,1287,8097,2113,8,2013,0
DianMyesha,3,7,79,1,0,2,35,0,734,2,2019,0
dimtung_,4,10,8,1,0,93,209,256,3313,2,2016,0
Dio_Nzee,5,10,59,1,0,11711,2261,62863,72822,7,2016,0
ddwwiittaa,5,0,15,1,0,330,111,2355,9202,11,2011,0
viikinurhayati,7,13,4,1,0,19,253,1460,355,11,2018,0
ekomada8,6,3,2,1,0,36,204,645,753,9,2018,0
HasbiDahlan,6,0,2,0,0,14,58,167,120,3,2019,0
jawabarat_info,4,10,4,1,0,6486,11,16,625497,12,2012,0
Sening_93,7,8,3,1,0,11,45,238,32,8,2018,0
OfficialNETNews,4,14,16,1,1,43233,119,106,45072,10,2013,0
